Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
1NW ADAIR,0,0,0,6,6,0.0784,0,0,0,8,8,0.0784,0,0,0,0,0,0,8,8,0.1569,0,0,0,9,9,0.1569,0,0,0,9,9,0.1569,0,0,0,0,0,0,0,0,0
5GF GREENFIELD,0,0,0,8,0,0,0,0,0,10,12,0.1569,0,0,0,0,0,0,26,32,0.3922,0,0,0,16,21,0.3137,0,0,0,6,0,0,12,13,0.1569,0,0,0,0,0,0
2NE STUART,0,0,0,6,0,0,0,0,0,10,15,0.3137,0,0,0,0,0,0,9,10,0.1569,0,0,0,10,10,0.2353,7,7,0.1569,0,0,0,1,1,0,0,0,0,0,0,0
Total,0,0,0,20,6,0.0784,0,0,0,28,35,0.549,0,0,0,0,0,0,43,50,0.706,0,0,0,35,40,0.7059,7,7,0.1569,15,9,0.1569,13,14,0.1569,0,0,0,0,0,0
Adams 1,0,0,0,5,5,0.0857,0,0,0,7,7,0.1714,0,0,0,0,0,0,5,5,0.1714,0,0,0,7,7,0.1714,0,0,0,5,5,0.0857,0,0,0,0,0,0,0,0,0
Adams 5,0,0,0,4,4,0.0857,0,0,0,5,5,0.1714,0,0,0,0,0,0,3,3,0.0857,0,0,0,3,3,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams 4,0,0,0,6,6,0.1714,0,0,0,3,3,0.0857,0,0,0,0,0,0,4,4,0.1714,0,0,0,2,0,0,0,0,0,3,5,0.1714,0,0,0,0,0,0,0,0,0
Total,0,0,0,15,15,0.3428,0,0,0,15,15,0.4285,0,0,0,0,0,0,12,12,0.4285,0,0,0,12,10,0.2571,0,0,0,8,10,0.2571,0,0,0,0,0,0,0,0,0
Pct 05 - LT/PC/WV City,0,0,0,2,0,0,0,0,0,5,7,0.0778,0,0,0,1,0,0,6,6,0.0778,0,0,0,5,5,0.0778,0,0,0,4,5,0.0778,0,0,0,0,0,0,0,0,0
Pct 02 - FC/JF/LL/MK/UP,0,0,0,6,0,0,0,0,0,11,14,0.2333,0,0,0,0,0,0,13,18,0.2333,0,0,0,13,13,0.2333,8,0,0,11,11,0.1556,9,13,0.2333,0,2,0,0,0,0
Pct 08 - IA/UC/NA City,0,0,0,6,6,0.0778,0,0,0,7,7,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0778,9,9,0.0778,9,9,0.0778,0,0,0,0,0,0,0,0,0
Pct 04 - PV City,0,0,0,7,7,0.1556,0,0,0,15,15,0.2333,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0778,0,0,0,0,0,0,10,10,0.1556,0,0,0,0,0,0
Pct 07 - CN/LF/LS/LS City,0,0,0,8,0,0,0,0,0,47,52,0.7,0,0,0,0,0,0,16,30,0.3889,0,0,0,16,21,0.3111,6,0,0,5,0,0,3,0,0,0,0,0,4,0,0
Pct 01 - WL/HV,0,0,0,1,0,0,0,0,0,4,4,0.0778,0,0,0,0,0,0,6,7,0.1556,0,0,0,5,5,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 09 - Waukon 1,0,0,0,13,13,0.1556,0,0,0,21,27,0.3889,0,0,0,0,0,0,9,10,0.1556,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0
Pct 11 - Waukon 3,1,0,0,8,12,0.2333,0,0,0,9,12,0.2333,0,0,0,0,0,0,9,9,0.1556,0,0,0,6,7,0.0778,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Total,1,0,0,51,38,0.6223,0,0,0,119,138,2.0222,0,0,0,1,0,0,59,80,1.1668,0,0,0,57,63,0.9334,25,9,0.0778,36,25,0.3112,31,23,0.3889,0,2,0,4,4,0
Johns/Independence,0,0,0,10,11,0.16,0,0,0,3,7,0.08,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,7,0.08,0,0,0,0,0,0,0,0,0
Caldwell Township,0,0,0,1,0,0,0,0,0,4,7,0.08,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0.08,3,0,0,0,0,0,0,0,0,0,2,0
Taylor/Chariton,0,0,0,7,10,0.24,0,0,0,10,14,0.24,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0.08,3,0,0,0,0,0,0,0,0,0,0,0
Walnut,0,0,0,0,0,0,0,0,0,8,8,0.16,0,0,0,0,0,0,3,3,0.08,0,0,0,2,0,0,2,3,0.08,0,0,0,3,4,0.08,0,0,0,0,0,0
Vermiltdon/Douglas/Sharon,0,0,0,8,8,0.08,0,0,0,14,15,0.24,0,0,0,0,0,0,4,8,0.16,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Centerville Ward 3,0,0,0,11,14,0.24,0,0,0,18,21,0.32,0,0,0,0,0,0,1,0,0,0,0,0,12,12,0.24,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0
Centerville Ward 2,0,0,0,9,10,0.16,0,0,0,23,23,0.32,0,0,0,1,0,0,9,11,0.16,0,0,0,20,21,0.24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Washington/Wells,0,0,0,6,7,0.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleasant/Franktdn,0,0,0,8,8,0.16,0,0,0,10,10,0.16,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.08,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
Centerville Ward 1,0,0,0,9,14,0.24,0,0,0,25,29,0.56,0,0,0,0,0,0,5,0,0,0,0,0,11,12,0.24,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0
Union / Udell Township,0,0,0,11,14,0.16,0,0,0,3,6,0.08,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0.08,2,0,0,2,0,0,1,0,0,0,0,0,1,2,0
Total,0,0,0,80,96,1.68,0,0,0,119,140,2.24,0,0,0,1,0,0,30,22,0.4,0,0,0,61,57,0.96,15,12,0.24,35,7,0.08,4,4,0.08,0,0,0,2,8,0
Precinct 2,0,0,0,28,38,0.6,0,0,0,8,0,0,0,0,0,0,0,0,25,37,0.6,0,0,0,14,17,0.3,3,0,0,12,0,0,0,0,0,0,0,0,2,0,0
Precinct 1,0,0,0,17,23,0.3,0,0,0,23,31,0.4,0,0,0,0,0,0,17,18,0.3,0,0,0,17,18,0.2,8,0,0,20,21,0.3,9,0,0,0,0,0,0,0,0
Total,0,0,0,45,61,0.9,0,0,0,31,31,0.4,0,0,0,0,0,0,42,55,0.9,0,0,0,31,35,0.5,11,0,0,32,21,0.3,9,0,0,0,0,0,2,0,0
Belle Plaine 3,0,0,0,7,9,0.15,0,0,0,6,7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.15,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Vinton 3,0,0,0,10,11,0.15,0,0,0,18,19,0.3,0,0,0,0,0,0,8,9,0.15,0,0,0,12,12,0.225,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0
Walford,0,0,0,10,10,0.15,0,0,0,6,7,0.15,0,0,0,0,0,0,11,12,0.225,0,0,0,9,10,0.225,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Fremont-Atkins,0,0,0,28,28,0.6,0,0,0,22,22,0.525,0,0,0,0,0,0,9,0,0,0,0,0,20,20,0.525,4,0,0,8,0,0,3,0,0,0,0,0,0,0,0
Polk-Urbana,0,0,0,21,25,0.45,0,0,0,22,27,0.525,0,0,0,1,0,0,13,14,0.225,0,0,0,13,17,0.3,3,0,0,10,0,0,2,0,0,0,0,0,0,2,0
Bruce-Cedar-Mt Auburn,0,0,0,4,4,0.075,0,0,0,7,7,0.15,0,0,0,0,0,0,5,5,0.075,0,0,0,4,4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florence-St Clair-Norway,0,0,0,19,20,0.45,0,0,0,8,9,0.15,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
Kane-Keystone,0,0,0,7,8,0.225,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0.225,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
Iowa-Leroy-Luzerne-Blairstown,0,0,0,12,16,0.375,0,0,0,12,18,0.375,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Benton-Canton-Shellsburg,0,0,0,28,31,0.6,0,0,0,23,29,0.525,0,0,0,0,0,0,7,0,0,0,0,0,12,14,0.225,4,0,0,15,15,0.3,0,0,0,0,0,0,0,0,0
Belle Plaine 1,0,0,0,8,8,0.15,0,0,0,5,5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.075,0,0,0,6,6,0.15,0,0,0,0,0,0,0,0,0
Vinton 1,0,0,0,22,22,0.375,0,0,0,14,14,0.225,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.15,0,0,0,12,12,0.15,1,1,0,0,0,0,0,0,0
Belle Plaine 2,0,0,0,7,7,0.15,0,0,0,5,5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.075,0,0,0,4,4,0.075,0,0,0,0,0,0,0,0,0
Big Grove-Union-Van Horne,0,0,0,7,7,0.075,0,0,0,8,8,0.15,0,0,0,0,0,0,10,10,0.15,0,0,0,12,12,0.225,0,0,0,7,7,0.075,0,0,0,0,0,0,0,0,0
Eldorado-Newhall,0,0,0,13,16,0.3,0,0,0,5,8,0.15,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0.225,1,0,0,6,6,0.075,2,0,0,0,0,0,0,0,0
Vinton 2,0,0,0,8,8,0.075,0,0,0,9,9,0.15,0,0,0,1,0,0,8,9,0.15,0,0,0,7,8,0.15,1,0,0,6,6,0.075,0,0,0,0,0,0,0,0,0
Eden-Harrison-Taylor,0,0,0,10,10,0.15,0,0,0,13,15,0.225,0,0,0,0,0,0,10,10,0.15,0,0,0,7,9,0.15,5,0,0,8,9,0.075,0,0,0,0,0,0,0,0,0
Total,0,0,0,221,240,4.5,0,0,0,186,209,3.9,0,0,0,3,0,0,84,69,1.125,0,0,0,155,170,3.3,22,0,0,93,65,0.975,17,1,0,1,0,0,4,3,0
CF W1 P2,0,0,0,30,0,0,0,0,0,67,77,0.606,0,0,0,0,0,0,56,76,0.606,0,0,0,98,103,1.01,11,0,0,75,84,0.808,16,0,0,0,0,0,0,0,0
CF W5 P1,0,0,0,39,42,0.404,0,0,0,51,57,0.606,0,0,0,0,0,0,49,55,0.606,0,0,0,43,45,0.404,9,0,0,53,57,0.606,14,0,0,0,0,0,0,0,0
CF W5 P2,0,0,0,30,41,0.606,2,0,0,31,41,0.606,0,0,0,3,0,0,19,0,0,0,0,0,43,57,0.808,5,0,0,38,41,0.606,15,0,0,0,0,0,0,0,0
CF W4 P1,0,0,0,18,0,0,0,0,0,63,69,0.606,0,0,0,0,0,0,36,44,0.404,0,0,0,89,91,1.01,0,0,0,61,63,0.606,6,0,0,0,0,0,3,0,0
CF W1 P3,0,0,0,24,0,0,0,0,0,58,90,0.808,0,0,0,2,0,0,22,0,0,0,0,0,141,154,1.414,4,0,0,75,85,0.808,23,0,0,0,0,0,3,0,0
CF W2 P3,1,0,0,42,42,0.606,0,0,0,63,69,1.01,0,0,0,0,0,0,67,69,1.01,0,0,0,46,50,0.606,0,0,0,43,43,0.606,11,0,0,0,0,0,0,0,0
Evansdale W1,0,0,0,6,10,0.202,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,18,0.606,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mt Vernon,0,0,0,9,11,0.202,0,0,0,6,9,0.202,0,0,0,0,0,0,6,7,0.202,0,0,0,7,10,0.202,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0
Barclay Lester Dunkerton,0,0,0,11,18,0.202,0,0,0,15,18,0.404,0,0,0,2,0,0,4,0,0,0,0,0,10,13,0.202,9,10,0.202,6,0,0,0,0,0,0,0,0,2,0,0
